ano_campeonato,rodada,estadio,arbitro,publico,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante
2017,2,Arena Condá,André Luiz de Freitas Castro,10323.0,Chapecoense,Palmeiras,Vágner Mancini,Cuca,11.0,2.0,12050000.0,21500000.0,27.2,27.1,1.0,0.0,0.0,0.0
2017,3,Arena Condá,Marcelo de Lima Henrique,6188.0,Chapecoense,Avaí FC,Vágner Mancini,Claudinei Oliveira,6.0,17.0,12050000.0,6550000.0,27.3,27.3,2.0,0.0,2.0,0.0
2017,5,Arena Condá,Rodolpho Toski Marques,14403.0,Chapecoense,Grêmio,Vágner Mancini,Renato Gaúcho,1.0,3.0,12050000.0,28300000.0,27.3,28.1,3.0,6.0,1.0,2.0
2017,7,Arena Condá,Jailson Macedo Freitas,10033.0,Chapecoense,Vasco da Gama,Vágner Mancini,Milton Mendes,4.0,11.0,12050000.0,9600000.0,27.3,25.8,2.0,1.0,1.0,1.0
2017,8,Arena Condá,Marcelo Aparecido Ribeiro de Souza,11603.0,Chapecoense,Botafogo,Vágner Mancini,Jair Ventura,4.0,12.0,12300000.0,10400000.0,27.4,27.1,0.0,2.0,0.0,1.0
2017,10,Arena Condá,João Batista de Arruda,8502.0,Chapecoense,Atlético-MG,Vágner Mancini,Roger Machado,10.0,16.0,9650000.0,19600000.0,25.8,26.3,0.0,1.0,0.0,1.0
2017,12,Arena Condá,Caio Max Augusto Vieira,9689.0,Chapecoense,Atlético-PR,Vinícius Eutrópio,Eduardo Baptista,15.0,14.0,10100000.0,18500000.0,27.0,27.5,1.0,1.0,1.0,1.0
2017,14,Arena Condá,Wagner do Nascimento Magalhães,10742.0,Chapecoense,São Paulo,Vinícius Eutrópio,Dorival Júnior,16.0,17.0,8500000.0,33230000.0,25.7,26.8,2.0,0.0,0.0,0.0
2017,17,Arena Condá,Marcelo Aparecido Ribeiro de Souza,9744.0,Chapecoense,Atlético-GO,Vinícius Eutrópio,João Paulo Sanches,12.0,20.0,8900000.0,5900000.0,26.6,26.8,1.0,2.0,1.0,0.0
2017,18,Arena Condá,Flavio Rodrigues de Souza,3466.0,Chapecoense,EC Bahia,Vinícius Eutrópio,Preto Casagrande,13.0,15.0,9500000.0,11100000.0,26.4,26.0,1.0,1.0,1.0,1.0
2017,20,Arena Condá,Paulo Roberto Alves Júnior,15831.0,Chapecoense,Corinthians,Vinícius Eutrópio,Fábio Carille,16.0,1.0,9750000.0,21450000.0,26.8,25.4,0.0,1.0,0.0,0.0
2017,23,Arena Condá,Leandro Bizzio Marinho,9676.0,Chapecoense,Cruzeiro,Vinícius Eutrópio,Mano Menezes,17.0,6.0,10250000.0,22850000.0,28.1,27.5,1.0,2.0,0.0,1.0
2017,25,Arena Condá,Jean Pierre Goncalves Lima,9980.0,Chapecoense,Ponte Preta,Emerson Cris,Eduardo Baptista,15.0,14.0,11850000.0,12350000.0,26.4,27.7,1.0,0.0,1.0,0.0
2017,28,Arena Condá,Dewson Fernando Freitas da Silva,10484.0,Chapecoense,Flamengo,Emerson Cris,Reinaldo Rueda,16.0,7.0,15100000.0,38100000.0,27.9,29.5,0.0,1.0,0.0,0.0
2017,30,Arena Condá,Claudio Francisco Lima e Silva,10010.0,Chapecoense,Fluminense,Emerson Cris,Abel Braga,14.0,9.0,15900000.0,15800000.0,27.7,25.2,2.0,0.0,1.0,0.0
2017,32,Arena Condá,Ricardo Marques Ribeiro,10654.0,Chapecoense,Sport Recife,Gilson Kleina,Daniel Paulista,14.0,15.0,12650000.0,19300000.0,26.9,30.4,1.0,1.0,0.0,0.0
2017,34,Arena Condá,Jailson Macedo Freitas,11301.0,Chapecoense,Santos FC,Gilson Kleina,Elano,14.0,3.0,15900000.0,27500000.0,27.8,27.5,2.0,0.0,1.0,0.0
2017,35,Arena Condá,Anderson Daronco,7546.0,Chapecoense,EC Vitória,Gilson Kleina,Vágner Mancini,13.0,16.0,15900000.0,12300000.0,27.8,26.1,2.0,1.0,1.0,1.0
2017,38,Arena Condá,Luiz Flávio de Oliveira,12913.0,Chapecoense,Coritiba FC,Gilson Kleina,Marcelo Oliveira,10.0,16.0,15000000.0,11750000.0,27.4,27.4,2.0,1.0,1.0,1.0
2017,1,Allianz Parque,Rodolpho Toski Marques,33425.0,Palmeiras,Vasco da Gama,Cuca,Milton Mendes,2.0,19.0,28950000.0,8530000.0,31.1,27.1,4.0,0.0,2.0,0.0
2017,4,Allianz Parque,Marcelo de Lima Henrique,34240.0,Palmeiras,Atlético-MG,Cuca,Roger Machado,14.0,16.0,25650000.0,29350000.0,28.8,28.1,0.0,0.0,0.0,0.0
